trip_id,driver_id,rider_id,city,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,fare_amount,status,payment_method,pickup_time,drop_time
1,8270,10683,San Francisco,37.17093115042939,-77.58647936979322,37.1736523397383,-77.61993433646886,2.97,10.71,Completed,Wallet,2023-01-01 00:00:00,2023-01-01 00:08:54.600000000
2,1860,44743,Boston,38.89812691856606,-108.58297695484846,38.93746379536704,-108.55872717079913,8.43,22.41,Completed,UPI,2023-01-01 00:01:00,2023-01-01 00:26:17.400000000
3,6390,75839,San Francisco,38.81457056869823,-89.94260270822319,38.82170236125605,-89.8964345566054,5.46,12.91,Completed,Cash,2023-01-01 00:02:00,2023-01-01 00:18:22.800000000
4,6191,22189,New York,37.29590568598714,-75.32884414927358,37.30137520518609,-75.31748783882725,6.61,15.7,Completed,Wallet,2023-01-01 00:03:00,2023-01-01 00:22:49.800000000
5,6734,61104,Seattle,38.97239533578873,-121.48291286204801,38.99208841336341,-121.46790441380276,10.5,19.15,Completed,Wallet,2023-01-01 00:04:00,2023-01-01 00:35:30.000000000
6,7265,84988,San Francisco,37.600550944815616,-106.71906865688572,37.55691580938672,-106.73095912437086,9.94,19.95,Completed,Card,2023-01-01 00:05:00,2023-01-01 00:34:49.200000000
7,1466,82933,San Francisco,40.28855964243779,-82.8082193858109,40.27883011229549,-82.84463502060092,12.22,25.89,Completed,UPI,2023-01-01 00:06:00,2023-01-01 00:42:39.600000000
8,5426,60182,Chicago,40.601188277022246,-78.39873323235332,40.569810860072174,-78.36818593976587,10.14,25.55,Completed,Cash,2023-01-01 00:07:00,2023-01-01 00:37:25.200000000
9,6578,15826,San Francisco,40.29624711069893,-87.57651655291244,40.284637585308246,-87.56478285126917,1.88,7.97,Completed,Cash,2023-01-01 00:08:00,2023-01-01 00:13:38.400000000
10,9322,63503,Boston,40.71263418106593,-78.49965570372784,40.67026654819631,-78.477475359972,3.7,12.21,No-Show,UPI,2023-01-01 00:09:00,2023-01-01 00:20:06.000000000
11,2685,19386,Los Angeles,39.589159042548175,-119.3519437587201,39.58070702508536,-119.33923267120856,7.5,13.99,Completed,Cash,2023-01-01 00:10:00,2023-01-01 00:32:30.000000000
12,1769,54319,Boston,40.37432862818872,-107.8435632936991,40.377110110424994,-107.87886828411702,5.64,11.38,Completed,Card,2023-01-01 00:11:00,2023-01-01 00:27:55.200000000
13,7949,83961,Boston,38.99690304998711,-111.38773010283748,39.01451831776753,-111.43003134579095,1.6,4.93,Completed,UPI,2023-01-01 00:12:00,2023-01-01 00:16:48.000000000
14,3433,21112,Los Angeles,40.160738899383084,-104.14123780996758,40.151155465161054,-104.14166114061577,7.13,15.22,Completed,Cash,2023-01-01 00:13:00,2023-01-01 00:34:23.400000000
15,6311,44486,San Francisco,40.78622125928146,-101.21185168532935,40.83300317980395,-101.21260494422496,1.74,4.88,Completed,Cash,2023-01-01 00:14:00,2023-01-01 00:19:13.200000000
